Name,IntValue,StringValue,BooleanValue
String,int,String,boolean
MinFuelPrize,6,,
MaxFuelPrize,9,,
MaxFuel,99,,
FuelWheelFreeSpinCooldown,86400,,
NumSunPointsTasks,3,,
MinZoom,300,,
MaxZoom,650,,
MinZoom_MOBILE,200,,
MaxZoom_MOBILE,650,,
FogVisibleDistance,10,,
FogMaxDistance,18,,
PawnSpeed,300,,
NumDailyQuests,4,,
TasksAndQuestsResetHourUTC,8,,
ObstacleMinPassedEmptyNodes,23,,
ObstacleMaxPassedEmptyNodes,43,,
MaxDailySocialTasks,15,,
MaxDailyEmptyNodeChickens,15,,
CollectChickenGoal,100,,
GlobalChickenSpawnRateMultipliers,100,,
,150,,
,150,,
,200,,
,200,,
,250,,
,250,,
,300,,
DailyQuestChickenProbabilities,0,,
,0,,
,40,,
,75,,
,100,,
DailyQuestChickenAmount,1,,
ShopRewardsNumPerGroupTier1,6,,
ShopRewardsNumUnlocks,6,,
ShopRewardsCadenceUnlocksDays,3,,
PoofEffectScale,100,,
RoadStopChickenScale,120,,
RoadStopChickenXOffset,0,,
RoadStopChickenYOffset,10,,
DailyQuestChickenScale,170,,
DailyQuestChickenXOffset,0,,
DailyQuestChickenYOffset,0,,
MaxWalletCoins,6000,,
FuelGeneratorInfoTitle,,TID_VALLEY_INFO_TITLE_1,
,,TID_VALLEY_INFO_TITLE_2,
,,TID_VALLEY_INFO_TITLE_3,
,,TID_VALLEY_INFO_TITLE_4,
,,TID_VALLEY_INFO_TITLE_5,
,,TID_VALLEY_INFO_TITLE_6,
,,TID_VALLEY_INFO_TITLE_7,
FuelGeneratorInfoText,,TID_VALLEY_INFO_1,
,,TID_VALLEY_INFO_2,
,,TID_VALLEY_INFO_3,
,,TID_VALLEY_INFO_4,
,,TID_VALLEY_INFO_5,
,,TID_VALLEY_INFO_6,
,,TID_VALLEY_INFO_7,
ShopRewardsInfoTitle,,TID_VALLEY_INFO_TITLE_1,
,,TID_VALLEY_INFO_TITLE_2,
,,TID_VALLEY_INFO_TITLE_3,
,,TID_VALLEY_INFO_TITLE_4,
,,TID_VALLEY_INFO_TITLE_5,
,,TID_VALLEY_INFO_TITLE_6,
,,TID_VALLEY_INFO_TITLE_7,
ShopRewardsInfoText,,TID_VALLEY_INFO_1,
,,TID_VALLEY_INFO_2,
,,TID_VALLEY_INFO_3,
,,TID_VALLEY_INFO_4,
,,TID_VALLEY_INFO_5,
,,TID_VALLEY_INFO_6,
,,TID_VALLEY_INFO_7,
DailyQuestsInfoTitle,,TID_VALLEY_INFO_TITLE_1,
,,TID_VALLEY_INFO_TITLE_2,
,,TID_VALLEY_INFO_TITLE_3,
,,TID_VALLEY_INFO_TITLE_4,
,,TID_VALLEY_INFO_TITLE_5,
,,TID_VALLEY_INFO_TITLE_6,
,,TID_VALLEY_INFO_TITLE_7,
DailyQuestsInfoText,,TID_VALLEY_INFO_1,
,,TID_VALLEY_INFO_2,
,,TID_VALLEY_INFO_3,
,,TID_VALLEY_INFO_4,
,,TID_VALLEY_INFO_5,
,,TID_VALLEY_INFO_6,
,,TID_VALLEY_INFO_7,
UpdateVisibilityTiles,40,,
HiddenTilePathLength,6,,
,,,
CustomMapMusicLowMemoryDevice,,,TRUE
MaxDistanceNodesVisitBuildingQuests,6,,
,,,
SpinFloaterCooldownSeconds,10,,
NumberOfPurchasableFuelSpins,1,,
PurchasableFuelSpinsPriceMultiplier,5,,
TruckAutoRepairDelayMillis,2000,,
TruckAutoMoveDelayMillis,2000,,
RoadStopChickenAutoCollectDelayMillis,2000,,
RoadStopChickenAutoMoveDelayMillis,2000,,
ShopRewardsSeasonOverInfoTitle,,TID_MAP_GAME_PAUSED_NO_EVENT,
,,TID_MAP_GAME_PAUSED_NO_EVENT,
,,,
ShopRewardsSeasonOverInfoText,,TID_VALLEY_END_INFO1,
,,TID_VALLEY_END_INFO2,
TruckCollectionMaxCapacity,3,,
SanctuaryAnimalPercentageDeliveryBonusTwoAnimals,10,,
SanctuaryAnimalPercentageDeliveryBonusThreeAnimals,25,,
SanctuaryAnimalDailyBaseSpawnRate,60,,
SanctuaryAnimalDailySpawnRates,,1;1;60,
,,1;20;45,
,,1;30;20,
,,2;1;60,
,,2;40;45,
,,2;60;20,
,,3;1;60,
,,3;70;45,
,,3;105;20,
,,4;1;60,
,,4;100;45,
