Name,Tag,Resource1,Amount1,Resource2,Amount2,Resource3,Amount3
String,String,String,int,String,int,String,int
StonePrice1,Stone,Cash,15000,,,,
,,Cash,55000,,,,
,,Cash,80000,,,,
,,Cash,150000,Blueprint,2,,
,,Voucher2,25,Voucher3,15,Blueprint,3
,,Cash,200000,Blueprint,4,,
,,Voucher1,100,Voucher4,10,Blueprint,6
StonePrice2,Stone,Cash,15000,,,,
,,Cash,55000,,,,
,,Voucher2,25,Voucher4,10,,
,,Cash,80000,Blueprint,2,,
,,Voucher1,100,Voucher3,15,Blueprint,3
,,Cash,150000,Blueprint,4,,
,,Cash,200000,Blueprint,6,,
StonePrice3,Stone,Cash,15000,,,,
,,Cash,55000,,,,
,,Cash,80000,,,,
,,Voucher2,25,Voucher4,10,Blueprint,2
,,Cash,150000,Blueprint,3,,
,,Voucher1,100,Voucher3,15,Blueprint,4
,,Cash,200000,Blueprint,6,,
StonePrice4,Stone,Cash,15000,,,,
,,Voucher1,100,Voucher3,15,,
,,Cash,55000,,,,
,,Cash,80000,Blueprint,2,,
,,Cash,150000,Blueprint,3,,
,,Cash,200000,Blueprint,4,,
,,Voucher2,25,Voucher4,10,Blueprint,6
StonePrice5,Stone,Cash,15000,,,,
,,Voucher3,15,Voucher4,10,,
,,Cash,55000,,,,
,,Voucher1,100,Voucher2,25,Blueprint,2
,,Cash,80000,Blueprint,3,,
,,Cash,150000,Blueprint,4,,
,,Cash,200000,Blueprint,6,,
StonePrice6,Stone,Cash,15000,,,,
,,Cash,55000,,,,
,,Voucher1,100,Voucher3,15,,
,,Cash,80000,Blueprint,2,,
,,Cash,150000,Blueprint,3,,
,,Voucher2,25,Voucher4,10,Blueprint,4
,,Cash,200000,Blueprint,6,,
TreePrice1,Tree,Cash,15000,,,,
,,Cash,85000,,,,
,,Cash,150000,,,,
,,Voucher2,25,Voucher4,10,Blueprint,3
,,Voucher1,100,Voucher3,15,Blueprint,5
,,Cash,250000,Blueprint,7,,
TreePrice2,Tree,Cash,15000,,,,
,,Cash,85000,,,,
,,Voucher1,100,Voucher2,25,,
,,Cash,150000,Blueprint,3,,
,,Voucher3,15,Voucher4,10,Blueprint,5
,,Cash,250000,Blueprint,7,,
TreePrice3,Tree,Cash,15000,,,,
,,Cash,85000,,,,
,,Cash,150000,,,,
,,Voucher1,100,Voucher4,10,Blueprint,3
,,Cash,250000,Blueprint,5,,
,,Voucher2,25,Voucher3,15,Blueprint,7
TreePrice4,Tree,Cash,15000,,,,
,,Voucher1,100,Voucher4,10,,
,,Cash,85000,,,,
,,Voucher2,25,Voucher3,15,Blueprint,3
,,Cash,150000,Blueprint,5,,
,,Cash,250000,Blueprint,7,,
TreePrice5,Tree,Cash,15000,,,,
,,Voucher2,25,Voucher3,15,,
,,Cash,85000,,,,
,,Cash,150000,Blueprint,3,,
,,Cash,250000,Blueprint,5,,
,,Voucher1,100,Voucher4,10,Blueprint,7
