Name,DecoName,RequireOption,Hidden,AutoOption,Level,OptionType,AssetFile,AssetExportName,AssetFrame,AssetDepth,AssetPlaceholder,Color,TintSymbolName,TID
String,String,String,Boolean,String,int,String,String,String,String,int,String,String,String,String
Pond_Lvl0,Pond,,,,0,Asset,sc/decos05_modular.sc,lvl0,Lvl1,,,,,TID_MODULAR_POND
Pond_Lvl1_Pagoda,Pond,,,,1,Asset,sc/decos05_modular.sc,lvl1_pagoda,Lvl1,6,,,,TID_MODULAR_POND_LVL1_PAGODA
,,,,,,,sc/decos05_modular.sc,lvl0_ground_b,Lvl1,0,,,,
,,,,,,,sc/decos05_modular.sc,lvl0_ground_f,Lvl1,9,,,,
Pond_Lvl1_Fountain,Pond,,,,1,Asset,sc/decos05_modular.sc,lvl1_fountain,Lvl1,6,,,,TID_MODULAR_POND_LVL1_FOUNTAIN
,,,,,,,sc/decos05_modular.sc,lvl0_ground_b,Lvl1,0,,,,
,,,,,,,sc/decos05_modular.sc,lvl0_ground_f,Lvl1,9,,,,
Pond_Lvl1_Birdbath,Pond,,,,1,Asset,sc/decos05_modular.sc,lvl1_birdbath,Lvl1,6,,,,TID_MODULAR_POND_LVL1_BIRDBATH
,,,,,,,sc/decos05_modular.sc,lvl0_ground_b,Lvl1,0,,,,
,,,,,,,sc/decos05_modular.sc,lvl0_ground_f,Lvl1,9,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Pond_Lvl2_ALL,Pond,,TRUE,,2,LevelAsset,sc/decos05_modular.sc,lvl1_pagoda,Lvl2,6,,,,
,,,,,,,,lvl0_ground_b,Lvl2,0,,,,
,,,,,,,,lvl0_ground_f,Lvl2,9,,,,
,,,,,,,sc/decos05_modular.sc,lvl1_fountain,Lvl2,6,,,,
,,,,,,,,lvl0_ground_b,Lvl2,0,,,,
,,,,,,,,lvl0_ground_f,Lvl2,9,,,,
,,,,,,,sc/decos05_modular.sc,lvl1_birdbath,Lvl2,6,,,,
,,,,,,,,lvl0_ground_b,Lvl2,0,,,,
,,,,,,,,lvl0_ground_f,Lvl2,9,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Pond_Lvl2_Pagoda_Color1,Pond,Pond_Lvl1_Pagoda,,Pond_Lvl2_ALL,2,Tint,,,,,,Beige1,PagodaTint01,TID_CUSTOM_DECORATIONS_OPTIONS_BEIGE
,,,,,,,,,,,,Beige1,PagodaTint02,
,,,,,,,,,,,,DarkGrey1,RockTint01,
Pond_Lvl2_Pagoda_Color2,Pond,Pond_Lvl1_Pagoda,,Pond_Lvl2_ALL,2,Tint,,,,,,DarkGrey2,PagodaTint01,TID_CUSTOM_DECORATIONS_OPTIONS_DARKGREY
,,,,,,,,,,,,DarkGrey2,PagodaTint02,
,,,,,,,,,,,,DarkGrey1,RockTint01,
Pond_Lvl2_Pagoda_Color3,Pond,Pond_Lvl1_Pagoda,,Pond_Lvl2_ALL,2,Tint,,,,,,Orange1,PagodaTint01,TID_CUSTOM_DECORATIONS_OPTIONS_GOLD
,,,,,,,,,,,,Orange1,PagodaTint02,
,,,,,,,,,,,,DarkGrey1,RockTint01,
,,,,,,,,,,,,,,
Pond_Lvl2_Fountain_Color1,Pond,Pond_Lvl1_Fountain,,Pond_Lvl2_ALL,2,Tint,,,,,,DarkGrey1,BaseTint01,TID_CUSTOM_DECORATIONS_OPTIONS_GOLD
,,,,,,,,,,,,Yellow1,BowlTint01,
,,,,,,,,,,,,Yellow1,BowlTint02,
Pond_Lvl2_Fountain_Color2,Pond,Pond_Lvl1_Fountain,,Pond_Lvl2_ALL,2,Tint,,,,,,DarkGrey1,BaseTint01,TID_CUSTOM_DECORATIONS_OPTIONS_BROWN
,,,,,,,,,,,,Brown1,BowlTint01,
,,,,,,,,,,,,Brown1,BowlTint02,
Pond_Lvl2_Fountain_Color3,Pond,Pond_Lvl1_Fountain,,Pond_Lvl2_ALL,2,Tint,,,,,,DarkGrey1,BaseTint01,TID_CUSTOM_DECORATIONS_OPTIONS_SILVER
,,,,,,,,,,,,LightGreyBlue1,BowlTint01,
,,,,,,,,,,,,LightGreyBlue1,BowlTint02,
,,,,,,,,,,,,,,
Pond_Lvl2_Birdbath_Color1,Pond,Pond_Lvl1_Birdbath,,Pond_Lvl2_ALL,2,Tint,,,,,,DarkGrey1,BaseTint01,TID_CUSTOM_DECORATIONS_OPTIONS_DARKGREY
,,,,,,,,,,,,DarkGrey2,BirdbathTint01,
,,,,,,,,,,,,DarkGrey2,BirdbathTint02,
,,,,,,,,,,,,DarkGrey2,OrnamentTint01,
Pond_Lvl2_Birdbath_Color2,Pond,Pond_Lvl1_Birdbath,,Pond_Lvl2_ALL,2,Tint,,,,,,DarkGrey1,BaseTint01,TID_CUSTOM_DECORATIONS_OPTIONS_GOLD
,,,,,,,,,,,,Orange1,BirdbathTint01,
,,,,,,,,,,,,Orange1,BirdbathTint02,
,,,,,,,,,,,,Orange1,OrnamentTint01,
Pond_Lvl2_Birdbath_Color3,Pond,Pond_Lvl1_Birdbath,,Pond_Lvl2_ALL,2,Tint,,,,,,DarkGrey1,BaseTint01,TID_CUSTOM_DECORATIONS_OPTIONS_GREEN
,,,,,,,,,,,,GreenYellow1,BirdbathTint01,
,,,,,,,,,,,,GreenYellow1,BirdbathTint02,
,,,,,,,,,,,,GreenYellow1,OrnamentTint01,
,,,,,,,,,,,,,,
Pond_Lvl3_ALL,Pond,,TRUE,,3,LevelAsset,sc/decos05_modular.sc,lvl1_pagoda,Lvl3,6,,,,
,,,,,,,,lvl0_ground_b,Lvl3,0,,,,
,,,,,,,,lvl0_ground_f,Lvl3,9,,,,
,,,,,,,sc/decos05_modular.sc,lvl1_fountain,Lvl3,6,,,,
,,,,,,,,lvl0_ground_b,Lvl3,0,,,,
,,,,,,,,lvl0_ground_f,Lvl3,9,,,,
,,,,,,,sc/decos05_modular.sc,lvl1_birdbath,Lvl3,6,,,,
,,,,,,,,lvl0_ground_b,Lvl3,0,,,,
,,,,,,,,lvl0_ground_f,Lvl3,9,,,,
,,,,,,,,,,,,,,
Pond_Lvl3_Pagoda_Color1,Pond,Pond_Lvl1_Pagoda,,Pond_Lvl3_ALL,3,Tint,,,,,,DarkGrey2,PagodaTint02,TID_CUSTOM_DECORATIONS_OPTIONS_DARKGREY
Pond_Lvl3_Pagoda_Color2,Pond,Pond_Lvl1_Pagoda,,Pond_Lvl3_ALL,3,Tint,,,,,,Orange1,PagodaTint02,TID_CUSTOM_DECORATIONS_OPTIONS_GOLD
Pond_Lvl3_Pagoda_Color3,Pond,Pond_Lvl1_Pagoda,,Pond_Lvl3_ALL,3,Tint,,,,,,Beige1,PagodaTint02,TID_CUSTOM_DECORATIONS_OPTIONS_WHITE
,,,,,,,,,,,,,,
